DC ID,Total Demand (box)
DC001,2617.487148606683
DC002,1451.5032442592592
DC003,6052.556425590625
DC004,839.8951397530864
DC005,3655.6589437477833
DC006,1714.5262796296295
DC007,1953.406370802469
DC008,1222.5441834479716
DC009,2275.1491361728395
DC010,10024.28081080247
DC011,2237.882597530864
DC012,1988.7365339594319
DC013,3341.2503114814813
DC014,3266.1240294444447
DC015,3936.6665267283947
DC016,2394.5044395061727
DC017,5495.42458042327
DC018,1493.868871111111
DC019,1161.2990706790122
DC020,2162.9411194973522
DC021,3250.3905669135797
DC022,1812.2507845414082
DC023,3267.3853483950616
DC024,3191.5028890828858
DC025,989.3837229012345
DC026,2180.2748998236307
DC027,1743.3103406172838
DC028,1967.986554382716
DC029,3320.266834876543
DC030,1979.775361111111
DC031,25860.222033135797
DC032,5633.49279654321
DC033,15308.986193870369
DC034,7533.841607345678
DC035,5809.72531728395
DC036,6917.255791975308
DC037,7718.457694188699
DC038,10607.940620140871
DC039,2738.2031186860636
DC040,1852.5798049735433
DC041,3973.833266410924
DC042,7500.777322627852
DC043,10341.133525114603
DC044,3964.28310636681
DC045,6447.970229197517
DC046,2484.0557847530863
DC047,5153.825781024691
DC048,2588.9072762962965
DC049,7254.234950925926
DC050,7766.481767462962
DC051,3675.671435802469
DC052,2686.879171111111
DC053,2385.9961156975305
DC054,2917.5814741975305
DC055,4905.002755185185
DC056,1766.5284061728394
DC057,3114.5234509320985
