Customer ID,Sub-District Area,Latitude,Longitude,Avg Monthly Demand (box)
CUST000,Semarang,-6.9667,110.4233,250
CUST001,Balikpapan,-1.2653,116.8253,270
CUST002,Palangkaraya,-2.2089,113.9167,455
CUST003,Jakarta,-6.2088,106.8456,790
CUST004,Palembang,-2.9761,104.7754,859
CUST005,Semarang,-6.9667,110.4233,277
CUST006,Surabaya,-7.2575,112.7521,130
CUST007,Padang,-0.957,100.354,419
CUST008,Denpasar,-8.65,115.2167,670
CUST009,Mataram,-8.5833,116.1167,72
CUST010,Medan,3.5952,98.6722,455
CUST011,Pekanbaru,0.5061,101.4477,262
CUST012,Palangkaraya,-2.2089,113.9167,310
CUST013,Balikpapan,-1.2653,116.8253,142
CUST014,Palembang,-2.9761,104.7754,123
CUST015,Pekanbaru,0.5061,101.4477,763
CUST016,Semarang,-6.9667,110.4233,388
CUST017,Balikpapan,-1.2653,116.8253,485
CUST018,Manado,1.4748,124.8421,52
CUST019,Medan,3.5952,98.6722,318
CUST020,Yogyakarta,-7.7956,110.3695,540
CUST021,Medan,3.5952,98.6722,764
CUST022,Mataram,-8.5833,116.1167,735
CUST023,Bandung,-6.9175,107.6191,117
CUST024,Palu,-0.8906,119.8829,325
CUST025,Yogyakarta,-7.7956,110.3695,89
CUST026,Mataram,-8.5833,116.1167,668
CUST027,Jakarta,-6.2088,106.8456,729
CUST028,Palu,-0.8906,119.8829,339
CUST029,Palembang,-2.9761,104.7754,972
CUST030,Palembang,-2.9761,104.7754,735
CUST031,Makassar,-5.1477,119.4327,711
CUST032,Pekanbaru,0.5061,101.4477,83
CUST033,Medan,3.5952,98.6722,187
CUST034,Pekanbaru,0.5061,101.4477,139
CUST035,Palangkaraya,-2.2089,113.9167,810
CUST036,Yogyakarta,-7.7956,110.3695,139
CUST037,Pontianak,-0.0267,109.33,162
CUST038,Jakarta,-6.2088,106.8456,312
CUST039,Padang,-0.957,100.354,482
CUST040,Manado,1.4748,124.8421,428
CUST041,Denpasar,-8.65,115.2167,437
CUST042,Bandung,-6.9175,107.6191,800
CUST043,Kendari,-3.9888,122.5159,95
CUST044,Semarang,-6.9667,110.4233,815
CUST045,Palembang,-2.9761,104.7754,216
CUST046,Surabaya,-7.2575,112.7521,389
CUST047,Mataram,-8.5833,116.1167,622
CUST048,Yogyakarta,-7.7956,110.3695,153
CUST049,Kendari,-3.9888,122.5159,161
CUST050,Medan,3.5952,98.6722,655
CUST051,Manado,1.4748,124.8421,240
CUST052,Pontianak,-0.0267,109.33,737
CUST053,Bandung,-6.9175,107.6191,492
CUST054,Pontianak,-0.0267,109.33,386
CUST055,Palu,-0.8906,119.8829,741
CUST056,Makassar,-5.1477,119.4327,669
CUST057,Makassar,-5.1477,119.4327,667
CUST058,Palembang,-2.9761,104.7754,432
CUST059,Jakarta,-6.2088,106.8456,174
CUST060,Palu,-0.8906,119.8829,72
CUST061,Jakarta,-6.2088,106.8456,574
CUST062,Mataram,-8.5833,116.1167,267
CUST063,Padang,-0.957,100.354,584
CUST064,Palangkaraya,-2.2089,113.9167,934
CUST065,Palu,-0.8906,119.8829,215
CUST066,Semarang,-6.9667,110.4233,213
CUST067,Semarang,-6.9667,110.4233,888
CUST068,Yogyakarta,-7.7956,110.3695,307
CUST069,Surabaya,-7.2575,112.7521,915
CUST070,Padang,-0.957,100.354,767
CUST071,Jakarta,-6.2088,106.8456,193
CUST072,Jakarta,-6.2088,106.8456,889
CUST073,Balikpapan,-1.2653,116.8253,973
CUST074,Pontianak,-0.0267,109.33,247
CUST075,Medan,3.5952,98.6722,683
CUST076,Palu,-0.8906,119.8829,821
CUST077,Yogyakarta,-7.7956,110.3695,546
CUST078,Yogyakarta,-7.7956,110.3695,973
CUST079,Medan,3.5952,98.6722,64
CUST080,Bandung,-6.9175,107.6191,950
CUST081,Jakarta,-6.2088,106.8456,898
CUST082,Denpasar,-8.65,115.2167,964
CUST083,Makassar,-5.1477,119.4327,56
CUST084,Palangkaraya,-2.2089,113.9167,977
CUST085,Medan,3.5952,98.6722,609
CUST086,Palangkaraya,-2.2089,113.9167,677
CUST087,Palangkaraya,-2.2089,113.9167,442
CUST088,Palu,-0.8906,119.8829,368
CUST089,Bandung,-6.9175,107.6191,152
CUST090,Surabaya,-7.2575,112.7521,476
CUST091,Palangkaraya,-2.2089,113.9167,395
CUST092,Palembang,-2.9761,104.7754,212
CUST093,Manado,1.4748,124.8421,731
CUST094,Pontianak,-0.0267,109.33,809
CUST095,Balikpapan,-1.2653,116.8253,737
CUST096,Semarang,-6.9667,110.4233,356
CUST097,Bandung,-6.9175,107.6191,172
CUST098,Padang,-0.957,100.354,813
CUST099,Mataram,-8.5833,116.1167,73
