Distributor Area,Origin Area,Origin Latitude,Longitude_x,Destination Area,Destination Latitude,Destination Longitude,Volume (CS),Distance (km),Cost/Trip
DC-JKT,CDP-SUL,-3.0,120.0,Tg. Priok,-6.1051,106.887,2195,1493.7486340169646,7078.8172187368045
CDP-BNR,DC-SBY,-7.2,112.7,Denpasar,-8.65,115.2167,2840,320.6485338953572,1661.9701103242578
CDP-KLT,DC-SBY,-7.2,112.7,Palangkaraya,-2.2089,113.9167,361,571.1191726337983,3118.657393461379
DC-JKT,DC-JKT,-6.2,106.8,Semarang,-6.9667,110.4233,3382,409.21110755158253,221.3023596710631
CDP-KLT,DC-SBY,-7.2,112.7,Pontianak,-0.0267,109.33,652,880.8509080107294,4536.048928667218
DC-SBY,DC-MDN,3.6,98.6,Surabaya,-7.2575,112.7521,1814,1980.8953803693546,1019.9382633284307
DC-JKT,CDP-BNR,-8.0,117.0,Bandung,-6.9175,107.6191,1721,1041.2274560842995,5846.53439666199
CDP-SUL,DC-JKT,-6.2,106.8,Palu,-0.8906,119.8829,3778,1566.9061758414766,6872.678141411843
DC-JKT,CDP-SUL,-3.0,120.0,Bandung,-6.9175,107.6191,2632,1438.7742021763645,7311.480089078729
DC-SBY,CDP-KLT,-0.5,115.0,Semarang,-6.9667,110.4233,2447,880.1491632445931,4474.081806294349
DC-SBY,DC-MDN,3.6,98.6,Semarang,-6.9667,110.4233,4680,1761.4031138772393,982.8182110506946
CDP-BNR,CDP-BNR,-8.0,117.0,Mataram,-8.5833,116.1167,2967,116.84593138218402,494.19062319970556
DC-SBY,CDP-KLT,-0.5,115.0,Bandung,-6.9175,107.6191,4643,1085.938309797235,4792.943960580093
DC-SBY,DC-MDN,3.6,98.6,Semarang,-6.9667,110.4233,4505,1761.4031138772393,922.2358137627645
CDP-BNR,CDP-KLT,-0.5,115.0,Mataram,-8.5833,116.1167,771,907.2909384257198,4629.988357018968
CDP-KLT,CDP-KLT,-0.5,115.0,Balikpapan,-1.2653,116.8253,607,220.05821358203067,934.7160906574144
DC-MDN,DC-JKT,-6.2,106.8,Padang,-0.957,100.354,1727,922.641145285623,443.76295767875143
CDP-SUL,DC-JKT,-6.2,106.8,Makassar,-5.1477,119.4327,3896,1402.6513007331262,5468.87550981831
CDP-KLT,DC-MDN,3.6,98.6,Palangkaraya,-2.2089,113.9167,3604,1820.708030061488,6896.13052823725
DC-JKT,CDP-KLT,-0.5,115.0,Bandung,-6.9175,107.6191,2126,1085.938309797235,4130.868510910506
DC-SBY,DC-JKT,-6.2,106.8,Jakarta,-6.2088,106.8456,561,5.134885309594459,2.6937413515896966
DC-JKT,DC-MDN,3.6,98.6,Bandung,-6.9175,107.6191,4887,1539.4159475701797,722.9064500558741
DC-MDN,DC-SBY,-7.2,112.7,Padang,-0.957,100.354,3487,1534.6199680641475,880.8939719727784
CDP-KLT,DC-JKT,-6.2,106.8,Pontianak,-0.0267,109.33,4297,741.6411412678369,4183.933320006833
CDP-SUL,CDP-KLT,-0.5,115.0,Makassar,-5.1477,119.4327,3682,713.6549165253224,3876.8461978341616
DC-SBY,CDP-BNR,-8.0,117.0,Tg. Priok,-6.1051,106.887,4508,1135.6486895447179,4591.806741343659
CDP-BNR,CDP-BNR,-8.0,117.0,Denpasar,-8.65,115.2167,3677,209.09231495917885,1138.04571265016
DC-JKT,CDP-BNR,-8.0,117.0,Jakarta,-6.2088,106.8456,2400,1137.944579317045,4298.958222265042
CDP-KLT,DC-MDN,3.6,98.6,Balikpapan,-1.2653,116.8253,4238,2096.5288073463084,11345.93985496347
DC-JKT,CDP-KLT,-0.5,115.0,Semarang,-6.9667,110.4233,1099,880.1491632445931,3716.4253014172477
DC-JKT,DC-MDN,3.6,98.6,Semarang,-6.9667,110.4233,418,1761.4031138772393,749.4406573120848
DC-SBY,DC-SBY,-7.2,112.7,Semarang,-6.9667,110.4233,4133,252.56074901137438,141.56290525330095
CDP-BNR,DC-SBY,-7.2,112.7,Denpasar,-8.65,115.2167,4747,320.6485338953572,1217.5314986553476
CDP-SUL,DC-SBY,-7.2,112.7,Palu,-0.8906,119.8829,962,1061.2727134521751,4561.531844051836
DC-SBY,DC-MDN,3.6,98.6,Yogyakarta,-7.7956,110.3695,4244,1819.4428648275564,901.4304786431704
DC-MDN,CDP-KLT,-0.5,115.0,Medan,3.5952,98.6722,588,1870.780233321527,8450.920068054105
DC-SBY,DC-JKT,-6.2,106.8,Surabaya,-7.2575,112.7521,2930,667.7064674632145,352.8776770884912
DC-SBY,DC-SBY,-7.2,112.7,Yogyakarta,-7.7956,110.3695,3660,265.3211639754965,128.96622275634354
DC-MDN,DC-JKT,-6.2,106.8,Medan,3.5952,98.6722,2103,1414.4575744927204,724.7273500423152
DC-JKT,CDP-BNR,-8.0,117.0,Jakarta,-6.2088,106.8456,2306,1137.944579317045,4802.190453463879
DC-MDN,DC-JKT,-6.2,106.8,Padang,-0.957,100.354,3367,922.641145285623,523.5885925773464
DC-SBY,CDP-KLT,-0.5,115.0,Bandung,-6.9175,107.6191,3235,1085.938309797235,4209.765555000417
CDP-BNR,DC-SBY,-7.2,112.7,Denpasar,-8.65,115.2167,4258,320.6485338953572,1684.388886195534
DC-SBY,CDP-KLT,-0.5,115.0,Tg. Priok,-6.1051,106.887,2322,1094.9524292688097,5449.040943027486
