DC ID,Carrier Provider,Fixed Cost,Variable Cost,Destination (City),Customer Code,Customer Name,Type,Volume,Total Cost
DC-SBY,EkspedisiKilat,30995.796817239774,22903.621589511793,Manado,OCUST047,Ocean Customer 0,Container,67.9262738708461,53899.41840675157
DC-MDN,TransCepat,3127.2602706269063,906.1725389903631,Palangkaraya,OCUST026,Ocean Customer 1,Bulk,15.4979163220101,4033.4328096172694
CDP-BNR,TransCepat,1889.9947650013805,1941.684250885822,Makassar,OCUST005,Ocean Customer 2,Bulk,34.524853315976316,3831.6790158872027
DC-MDN,TransCepat,3749.8317242771013,2411.7949907787333,Kendari,OCUST046,Ocean Customer 3,LCL,19.592392263721536,6161.626715055834
CDP-KLT,TransCepat,4658.943031657362,1750.5331149243887,Pontianak,OCUST008,Ocean Customer 4,Bulk,57.038404928000894,6409.47614658175
CDP-SUL,EkspedisiKilat,2287.2153793307807,2125.1288506780543,Surabaya,OCUST032,Ocean Customer 5,LCL,41.678945078318506,4412.344230008835
CDP-SUL,GudangEfisiensi,3596.152310118978,2927.253442003971,Surabaya,OCUST042,Ocean Customer 6,LCL,44.14971796063699,6523.40575212295
DC-SBY,GudangEfisiensi,48572.59768835443,43248.472074593796,Denpasar,OCUST034,Ocean Customer 7,Bulk,46.95242357895375,91821.06976294823
CDP-BNR,LogistikMaju,2385.562329405728,734.7841795576408,Mataram,OCUST041,Ocean Customer 8,Container,68.27258246239592,3120.346508963369
CDP-SUL,TransCepat,4457.324438572075,1254.5249528699464,Surabaya,OCUST018,Ocean Customer 9,LCL,68.49530183961994,5711.849391442021
CDP-KLT,TransCepat,1741.0570324026812,973.2098121426307,Pekanbaru,OCUST029,Ocean Customer 10,Container,63.17463495417705,2714.266844545312
DC-MDN,TransCepat,2615.7554134787333,653.5696744367043,Balikpapan,OCUST016,Ocean Customer 11,Bulk,58.37471716696545,3269.3250879154375
CDP-BNR,LogistikMaju,4615.654725214257,550.7072343484638,Semarang,OCUST037,Ocean Customer 12,Bulk,74.09033420924668,5166.361959562721
CDP-KLT,LogistikMaju,2156.642530320506,2702.022333357679,Kendari,OCUST022,Ocean Customer 13,Bulk,68.5516789557818,4858.664863678185
DC-SBY,TransCepat,104039.24842051782,57137.513724461416,Palu,OCUST040,Ocean Customer 14,Bulk,78.89073182256077,161176.76214497924
DC-JKT,LogistikMaju,2096.513820231249,2883.692691318718,Surabaya,OCUST009,Ocean Customer 15,Container,98.39047425023242,4980.206511549967
CDP-KLT,EkspedisiKilat,4909.037729624885,1322.5974943814913,Manado,OCUST047,Ocean Customer 16,LCL,52.111037070325494,6231.635224006377
DC-MDN,TransCepat,3122.845600637443,641.048153211174,Yogyakarta,OCUST003,Ocean Customer 17,LCL,64.26743818595061,3763.893753848617
DC-SBY,TransCepat,90070.23619549522,57756.621131010106,Makassar,OCUST001,Ocean Customer 18,Container,12.109612996347849,147826.85732650533
DC-JKT,TransCepat,3161.8319496820577,1706.0302573710246,Semarang,OCUST013,Ocean Customer 19,Container,38.97490937753559,4867.862207053082
CDP-KLT,TransCepat,3553.924006859119,1418.901790884895,Padang,OCUST001,Ocean Customer 20,Bulk,85.15185136552817,4972.8257977440135
DC-SBY,GudangEfisiensi,4853.939747413437,2989.76191189725,Surabaya,OCUST044,Ocean Customer 21,LCL,75.42867316736452,7843.701659310686
CDP-KLT,GudangEfisiensi,1651.6252384785766,2472.583090852797,Palu,OCUST021,Ocean Customer 22,Container,14.239455472144174,4124.2083293313735
CDP-KLT,TransCepat,1898.9134668939264,989.0536485931574,Makassar,OCUST002,Ocean Customer 23,Bulk,86.09876815721887,2887.967115487084
