Distributor Area,Origin Area,Origin Latitude,Longitude_x,Destination Area,Destination Latitude,Destination Longitude,Volume (CS)
Bali Nusra,Kencana,-8.63955,115.20248,Anggrek,-8.59373,116.15876,1000
Bali Nusra,Anggrek,-8.59373,116.15876,Kencana,-8.63955,115.20248,1000
Bali Nusra,Kencana,-8.63955,115.20248,Wijaya,-8.37759,118.72564,500
Bali Nusra,Kencana,-8.63955,115.20248,Kartika,-10.18017,123.54942,500
Bali Nusra,Kencana,-8.63955,115.20248,Cakrawala,-8.63907,122.27671,500
Bali Nusra,Kencana,-8.63955,115.20248,Kenari,-8.47856,117.40717,500
Bali Nusra,Anggrek,-8.59373,116.15876,Wijaya,-8.37759,118.72564,500
Bali Nusra,Anggrek,-8.59373,116.15876,Kartika,-10.18017,123.54942,500
Bali Nusra,Anggrek,-8.59373,116.15876,Cakrawala,-8.63907,122.27671,500
Bali Nusra,Anggrek,-8.59373,116.15876,Kenari,-8.47856,117.40717,500
Bali Nusra,Wijaya,-8.37759,118.72564,Kartika,-10.18017,123.54942,200
Bali Nusra,Wijaya,-8.37759,118.72564,Cakrawala,-8.63907,122.27671,200
Bali Nusra,Wijaya,-8.37759,118.72564,Kenari,-8.47856,117.40717,200
Bali Nusra,Kartika,-10.18017,123.54942,Wijaya,-8.37759,118.72564,200
Bali Nusra,Kartika,-10.18017,123.54942,Cakrawala,-8.63907,122.27671,200
Bali Nusra,Kartika,-10.18017,123.54942,Kenari,-8.47856,117.40717,200
Bali Nusra,Cakrawala,-8.63907,122.27671,Wijaya,-8.37759,118.72564,200
Bali Nusra,Cakrawala,-8.63907,122.27671,Kartika,-10.18017,123.54942,200
Bali Nusra,Cakrawala,-8.63907,122.27671,Kenari,-8.47856,117.40717,200
Bali Nusra,Kenari,-8.47856,117.40717,Wijaya,-8.37759,118.72564,200
Bali Nusra,Kenari,-8.47856,117.40717,Kartika,-10.18017,123.54942,200
Bali Nusra,Kenari,-8.47856,117.40717,Cakrawala,-8.63907,122.27671,200
Distributor Area,Origin Area,,,Destination Area,,,Volume (CS)
Kalimantan,Purnama,-0.935414,114.901123,Tembaga,-2.581936,115.390569,50
Kalimantan,Purnama,-0.935414,114.901123,Lestari,-3.455801,115.99749,50
Kalimantan,Purnama,-0.935414,114.901123,Damai,0.505968,117.532558,50
Kalimantan,Purnama,-0.935414,114.901123,Meranti,-1.5698,110.5215,50
Kalimantan,Purnama,-0.935414,114.901123,Cendana,-2.684718,111.631067,50
Kalimantan,Purnama,-0.935414,114.901123,Langit,-1.905754,116.197743,50
Kalimantan,Purnama,-0.935414,114.901123,Bayu,-2.934015,115.14198,50
Kalimantan,Purnama,-0.935414,114.901123,Salju,0.906,108.9872,50
Kalimantan,Purnama,-0.935414,114.901123,Sembada,-0.1378,112.8106,50
Kalimantan,Tembaga,-2.581936,115.390569,Purnama,-0.935414,114.901123,50
Kalimantan,Tembaga,-2.581936,115.390569,Lestari,-3.455801,115.99749,50
Kalimantan,Tembaga,-2.581936,115.390569,Damai,0.505968,117.532558,50
Kalimantan,Tembaga,-2.581936,115.390569,Meranti,-1.5698,110.5215,50
Kalimantan,Tembaga,-2.581936,115.390569,Cendana,-2.684718,111.631067,50
Kalimantan,Tembaga,-2.581936,115.390569,Langit,-1.905754,116.197743,50
Kalimantan,Tembaga,-2.581936,115.390569,Bayu,-2.934015,115.14198,50
Kalimantan,Tembaga,-2.581936,115.390569,Salju,0.906,108.9872,50
Kalimantan,Tembaga,-2.581936,115.390569,Sembada,-0.1378,112.8106,50
Kalimantan,Lestari,-3.455801,115.99749,Purnama,-0.935414,114.901123,50
Kalimantan,Lestari,-3.455801,115.99749,Tembaga,-2.581936,115.390569,50
Kalimantan,Lestari,-3.455801,115.99749,Damai,0.505968,117.532558,50
Kalimantan,Lestari,-3.455801,115.99749,Meranti,-1.5698,110.5215,50
Kalimantan,Lestari,-3.455801,115.99749,Cendana,-2.684718,111.631067,50
Kalimantan,Lestari,-3.455801,115.99749,Langit,-1.905754,116.197743,50
Kalimantan,Lestari,-3.455801,115.99749,Bayu,-2.934015,115.14198,50
Kalimantan,Lestari,-3.455801,115.99749,Salju,0.906,108.9872,50
Kalimantan,Lestari,-3.455801,115.99749,Sembada,-0.1378,112.8106,50
Kalimantan,Damai,0.505968,117.532558,Purnama,-0.935414,114.901123,50
Kalimantan,Damai,0.505968,117.532558,Tembaga,-2.581936,115.390569,50
Kalimantan,Damai,0.505968,117.532558,Lestari,-3.455801,115.99749,50
Kalimantan,Damai,0.505968,117.532558,Meranti,-1.5698,110.5215,50
Kalimantan,Damai,0.505968,117.532558,Cendana,-2.684718,111.631067,50
Kalimantan,Damai,0.505968,117.532558,Langit,-1.905754,116.197743,50
Kalimantan,Damai,0.505968,117.532558,Bayu,-2.934015,115.14198,50
Kalimantan,Damai,0.505968,117.532558,Salju,0.906,108.9872,50
Kalimantan,Damai,0.505968,117.532558,Sembada,-0.1378,112.8106,50
Kalimantan,Meranti,-1.5698,110.5215,Purnama,-0.935414,114.901123,50
Kalimantan,Meranti,-1.5698,110.5215,Tembaga,-2.581936,115.390569,50
Kalimantan,Meranti,-1.5698,110.5215,Lestari,-3.455801,115.99749,50
Kalimantan,Meranti,-1.5698,110.5215,Damai,0.505968,117.532558,50
Kalimantan,Meranti,-1.5698,110.5215,Cendana,-2.684718,111.631067,50
Kalimantan,Meranti,-1.5698,110.5215,Langit,-1.905754,116.197743,50
Kalimantan,Meranti,-1.5698,110.5215,Bayu,-2.934015,115.14198,50
Kalimantan,Meranti,-1.5698,110.5215,Salju,0.906,108.9872,50
Kalimantan,Meranti,-1.5698,110.5215,Sembada,-0.1378,112.8106,50
Kalimantan,Cendana,-2.684718,111.631067,Purnama,-0.935414,114.901123,50
Kalimantan,Cendana,-2.684718,111.631067,Tembaga,-2.581936,115.390569,50
Kalimantan,Cendana,-2.684718,111.631067,Lestari,-3.455801,115.99749,50
Kalimantan,Cendana,-2.684718,111.631067,Damai,0.505968,117.532558,50
Kalimantan,Cendana,-2.684718,111.631067,Meranti,-1.5698,110.5215,50
Kalimantan,Cendana,-2.684718,111.631067,Langit,-1.905754,116.197743,50
Kalimantan,Cendana,-2.684718,111.631067,Bayu,-2.934015,115.14198,50
Kalimantan,Cendana,-2.684718,111.631067,Salju,0.906,108.9872,50
Kalimantan,Cendana,-2.684718,111.631067,Sembada,-0.1378,112.8106,50
Kalimantan,Langit,-1.905754,116.197743,Purnama,-0.935414,114.901123,50
Kalimantan,Langit,-1.905754,116.197743,Tembaga,-2.581936,115.390569,50
Kalimantan,Langit,-1.905754,116.197743,Lestari,-3.455801,115.99749,50
Kalimantan,Langit,-1.905754,116.197743,Damai,0.505968,117.532558,50
Kalimantan,Langit,-1.905754,116.197743,Meranti,-1.5698,110.5215,50
Kalimantan,Langit,-1.905754,116.197743,Cendana,-2.684718,111.631067,50
Kalimantan,Langit,-1.905754,116.197743,Bayu,-2.934015,115.14198,50
Kalimantan,Langit,-1.905754,116.197743,Salju,0.906,108.9872,50
Kalimantan,Langit,-1.905754,116.197743,Sembada,-0.1378,112.8106,50
Kalimantan,Bayu,-2.934015,115.14198,Purnama,-0.935414,114.901123,50
Kalimantan,Bayu,-2.934015,115.14198,Tembaga,-2.581936,115.390569,50
Kalimantan,Bayu,-2.934015,115.14198,Lestari,-3.455801,115.99749,50
Kalimantan,Bayu,-2.934015,115.14198,Damai,0.505968,117.532558,50
Kalimantan,Bayu,-2.934015,115.14198,Meranti,-1.5698,110.5215,50
Kalimantan,Bayu,-2.934015,115.14198,Cendana,-2.684718,111.631067,50
Kalimantan,Bayu,-2.934015,115.14198,Langit,-1.905754,116.197743,50
Kalimantan,Bayu,-2.934015,115.14198,Salju,0.906,108.9872,50
Kalimantan,Bayu,-2.934015,115.14198,Sembada,-0.1378,112.8106,50
Kalimantan,Salju,0.906,108.9872,Purnama,-0.935414,114.901123,50
Kalimantan,Salju,0.906,108.9872,Tembaga,-2.581936,115.390569,50
Kalimantan,Salju,0.906,108.9872,Lestari,-3.455801,115.99749,50
Kalimantan,Salju,0.906,108.9872,Damai,0.505968,117.532558,50
Kalimantan,Salju,0.906,108.9872,Meranti,-1.5698,110.5215,50
Kalimantan,Salju,0.906,108.9872,Cendana,-2.684718,111.631067,50
Kalimantan,Salju,0.906,108.9872,Langit,-1.905754,116.197743,50
Kalimantan,Salju,0.906,108.9872,Bayu,-2.934015,115.14198,50
Kalimantan,Salju,0.906,108.9872,Sembada,-0.1378,112.8106,50
Kalimantan,Sembada,-0.1378,112.8106,Purnama,-0.935414,114.901123,50
Kalimantan,Sembada,-0.1378,112.8106,Tembaga,-2.581936,115.390569,50
Kalimantan,Sembada,-0.1378,112.8106,Lestari,-3.455801,115.99749,50
Kalimantan,Sembada,-0.1378,112.8106,Damai,0.505968,117.532558,50
Kalimantan,Sembada,-0.1378,112.8106,Meranti,-1.5698,110.5215,50
Kalimantan,Sembada,-0.1378,112.8106,Cendana,-2.684718,111.631067,50
Kalimantan,Sembada,-0.1378,112.8106,Langit,-1.905754,116.197743,50
Kalimantan,Sembada,-0.1378,112.8106,Bayu,-2.934015,115.14198,50
Kalimantan,Sembada,-0.1378,112.8106,Salju,0.906,108.9872,50
Kalimantan,Cemara,-1.249963,116.868785,Purnama,-0.935414,114.901123,100
Kalimantan,Cemara,-1.249963,116.868785,Tembaga,-2.581936,115.390569,100
Kalimantan,Cemara,-1.249963,116.868785,Lestari,-3.455801,115.99749,100
Kalimantan,Cemara,-1.249963,116.868785,Damai,0.505968,117.532558,100
Kalimantan,Cemara,-1.249963,116.868785,Meranti,-1.5698,110.5215,100
Kalimantan,Cemara,-1.249963,116.868785,Cendana,-2.684718,111.631067,100
Kalimantan,Cemara,-1.249963,116.868785,Langit,-1.905754,116.197743,100
Kalimantan,Cemara,-1.249963,116.868785,Bayu,-2.934015,115.14198,100
Kalimantan,Cemara,-1.249963,116.868785,Salju,0.906,108.9872,100
Kalimantan,Cemara,-1.249963,116.868785,Sembada,-0.1378,112.8106,100
Kalimantan,Mawaddah,-3.330249,114.595582,Purnama,-0.935414,114.901123,100
Kalimantan,Mawaddah,-3.330249,114.595582,Tembaga,-2.581936,115.390569,100
Kalimantan,Mawaddah,-3.330249,114.595582,Lestari,-3.455801,115.99749,100
Kalimantan,Mawaddah,-3.330249,114.595582,Damai,0.505968,117.532558,100
Kalimantan,Mawaddah,-3.330249,114.595582,Meranti,-1.5698,110.5215,100
Kalimantan,Mawaddah,-3.330249,114.595582,Cendana,-2.684718,111.631067,100
Kalimantan,Mawaddah,-3.330249,114.595582,Langit,-1.905754,116.197743,100
