Distributor Area,Origin Area,Origin Latitude,Longitude_x,Destination Area,Destination Latitude,Destination Longitude,Volume (CS),Distance_km
Kalimantan,Barabai,-2.581936,115.390569,Ampah - Teweh ,-0.935414,114.901123,50,190.03479163103287
Kalimantan,Batulicin,-3.455801,11.599749,Ampah - Teweh ,-0.935414,114.901123,50,11490.071761850995
Kalimantan,Bontang-Sangata,0.505968,117.532558,Ampah - Teweh ,-0.935414,114.901123,50,333.47299749364043
Kalimantan,Ketapang,-0.015698,1.105215,Ampah - Teweh ,-0.935414,114.901123,50,12667.29367585202
Kalimantan,Pangkalanbun ,-2.684718,111.631067,Ampah - Teweh ,-0.935414,114.901123,50,412.04959613905
Kalimantan,Penajam-Grogot,-1.905754,116.197743,Ampah - Teweh ,-0.935414,114.901123,50,179.8133551800864
Kalimantan,Rantau,-2.934015,11.514198,Ampah - Teweh ,-0.935414,114.901123,50,11501.320897339781
Kalimantan,Singkawang,0.906,1.089872,Ampah - Teweh ,-0.935414,114.901123,50,12670.464740262143
Kalimantan,Sintang,-0.1378,1.128106,Ampah - Teweh ,-0.935414,114.901123,50,12664.497042729785
Kalimantan,Balikpapan,-1.249963,116.868785,Ampah - Teweh ,-0.935414,114.901123,100,221.74403634144994
Kalimantan,Banjarmasin,-3.330249,114.595582,Ampah - Teweh ,-0.935414,114.901123,100,266.98329867520073
Kalimantan,Berau,2.138839,117.492022,Ampah - Teweh ,-0.935414,114.901123,100,445.7703489184372
Kalimantan,Bontang,0.121456,117.484766,Ampah - Teweh ,-0.935414,114.901123,100,310.4349063698274
Kalimantan,Palangkaraya,-2.218321,113.900455,Ampah - Teweh ,-0.935414,114.901123,100,180.33949613417292
Kalimantan,Pontianak,-0.03109,1.093425,Ampah - Teweh ,-0.935414,114.901123,100,12668.575253120523
Kalimantan,Samarinda,-0.502298,117.161801,Ampah - Teweh ,-0.935414,114.901123,100,256.15407183565753
Kalimantan,Sampit,-2.538901,112.956601,Ampah - Teweh ,-0.935414,114.901123,100,279.7283928904914
Kalimantan,Tarakan,0.334307,117.576925,Ampah - Teweh ,-0.935414,114.901123,100,329.2895667475223
Sulawesi,Barru,-0.440562,11.961877,Amurang,0.125533,12.463187,50,83.85950741892076
Sulawesi,Belopa,-0.336284,12.036455,Amurang,0.125533,12.463187,50,69.7439182726305
Sulawesi,Bitung,0.014711,12.515311,Amurang,0.125533,12.463187,50,13.55839351719646
Sulawesi,Bulukumba,-0.525188,12.015831,Amurang,0.125533,12.463187,50,87.50522878146772
Sulawesi,Gowa,-0.520514,11.946374,Amurang,0.125533,12.463187,50,91.72193568628705
Sulawesi,Jeneponto,-0.570104,11.972147,Amurang,0.125533,12.463187,50,94.36371110305484
Sulawesi,Kolaka,-0.407671,12.163507,Amurang,0.125533,12.463187,50,67.7422528207005
Sulawesi,Kotamobagu,0.72119,12.430148,Amurang,0.125533,12.463187,50,65.96698410548355
Sulawesi,Mangkutana,-0.252535,12.082405,Amurang,0.125533,12.463187,50,59.5348393148543
Sulawesi,Marisa,0.48671,12.207034,Amurang,0.125533,12.463187,50,49.07163272660827
Sulawesi,Pangkep,-0.481645,11.954193,Amurang,0.125533,12.463187,50,87.8518733122892
Sulawesi,Parigi,-0.81564,12.017009,Amurang,0.125533,12.463187,50,115.31381181096671
Sulawesi,Polman,-0.342045,11.931694,Amurang,0.125533,12.463187,50,78.57248721558253
Sulawesi,Sengkang,-0.414356,12.003914,Amurang,0.125533,12.463187,50,78.59814510586713
Sulawesi,Sinjai,-0.512906,12.025357,Amurang,0.125533,12.463187,50,85.78511705077773
Sulawesi,Takalar,-0.053974,11.943746,Amurang,0.125533,12.463187,50,61.13572928655286
Sulawesi,Tomohon,0.129712,1.248362,Amurang,0.125533,12.463187,50,1248.425607374438
Sulawesi,Toraja,-0.030292,1.198819,Amurang,0.125533,12.463187,50,1254.0612675807695
Sulawesi,Unaaha,-0.403681,12.248113,Amurang,0.125533,12.463187,50,63.225801160492004
Sulawesi,Kendari,-0.396513,12.250127,Amurang,0.125533,12.463187,100,62.40740239438829
Sulawesi,Makassar,-0.510404,11.946298,Amurang,0.125533,12.463187,100,90.85935146670158
Sulawesi,Manado,0.149518,12.486597,Amurang,0.125533,12.463187,100,3.7181855412276446
Sulawesi,Palu,-0.8232,11.988515,Amurang,0.125533,12.463187,100,117.4610363444474
Sulawesi,Bau-Bau,-0.548159,122.58,Amurang,0.125533,12.463187,100,12258.175209099738
Sulawesi,Bone,-0.455181,1.203264,Amurang,0.125533,12.463187,100,1255.082066025168
Sulawesi,Gorontalo,0.62005,12.302368,Amurang,0.125533,12.463187,100,57.53673416251463
Sulawesi,Luwuk,-0.96424,12.278153,Amurang,0.125533,12.463187,100,122.24859736956707
Sulawesi,Mamuju,-0.268747,11.889864,Amurang,0.125533,12.463187,100,77.29131124489479
Sulawesi,Palopo,-0.300675,12.020264,Amurang,0.125533,12.463187,100,68.2061290843973
Sulawesi,Pare-Pare,-0.397929,11.965472,Amurang,0.125533,12.463187,100,80.12476959006233
Sulawesi,Poso,-0.138101,12.076128,Amurang,0.125533,12.463187,100,52.022046975579855
Kalimantan,Banjarmasin,-3.330249,114.595582,Balikpapan,-1.249963,116.868785,1000,341.81932854564036
Kalimantan,Berau,2.138839,117.492022,Balikpapan,-1.249963,116.868785,1000,381.08201554843356
Kalimantan,Bontang,0.121456,117.484766,Balikpapan,-1.249963,116.868785,1000,166.42455049510502
Kalimantan,Palangkaraya,-2.218321,113.900455,Balikpapan,-1.249963,116.868785,1000,347.2022496130496
Kalimantan,Pontianak,-0.03109,1.093425,Balikpapan,-1.249963,116.868785,1000,12887.232231190803
Kalimantan,Samarinda,-0.502298,117.161801,Balikpapan,-1.249963,116.868785,1000,88.87337239275861
Kalimantan,Sampit,-2.538901,112.956601,Balikpapan,-1.249963,116.868785,1000,457.997522905023
Kalimantan,Tarakan,0.334307,117.576925,Balikpapan,-1.249963,116.868785,1000,192.09707455752587
Kalimantan,Balikpapan,-1.249963,116.868785,Banjarmasin,-3.330249,114.595582,1000,341.81932854564036
Kalimantan,Berau,2.138839,117.492022,Banjarmasin,-3.330249,114.595582,1000,685.2656546838737
Kalimantan,Bontang,0.121456,117.484766,Banjarmasin,-3.330249,114.595582,1000,499.00334032670884
Kalimantan,Palangkaraya,-2.218321,113.900455,Banjarmasin,-3.330249,114.595582,1000,145.2284571268395
Kalimantan,Pontianak,-0.03109,1.093425,Banjarmasin,-3.330249,114.595582,1000,12630.063511429164
Kalimantan,Samarinda,-0.502298,117.161801,Banjarmasin,-3.330249,114.595582,1000,423.4186305032907
Kalimantan,Sampit,-2.538901,112.956601,Banjarmasin,-3.330249,114.595582,1000,202.13394006883573
Kalimantan,Tarakan,0.334307,117.576925,Banjarmasin,-3.330249,114.595582,1000,523.6680471573925
Kalimantan,Ampah - Teweh ,-0.935414,114.901123,Barabai,-2.581936,115.390569,50,190.03479163103287
Kalimantan,Batulicin,-3.455801,11.599749,Barabai,-2.581936,115.390569,50,11531.76487528139
Kalimantan,Bontang-Sangata,0.505968,117.532558,Barabai,-2.581936,115.390569,50,416.42327912499275
Kalimantan,Ketapang,-0.015698,1.105215,Barabai,-2.581936,115.390569,50,12719.157676777979
Kalimantan,Pangkalanbun ,-2.684718,111.631067,Barabai,-2.581936,115.390569,50,418.22110774331117
Kalimantan,Penajam-Grogot,-1.905754,116.197743,Barabai,-2.581936,115.390569,50,116.84120446385235
Kalimantan,Rantau,-2.934015,11.514198,Barabai,-2.581936,115.390569,50,11544.730299014436
Kalimantan,Singkawang,0.906,1.089872,Barabai,-2.581936,115.390569,50,12725.53671635498
Kalimantan,Sintang,-0.1378,1.128106,Barabai,-2.581936,115.390569,50,12715.937559740238
Kalimantan,Balikpapan,-1.249963,116.868785,Barabai,-2.581936,115.390569,100,220.76979001249256
Kalimantan,Banjarmasin,-3.330249,114.595582,Barabai,-2.581936,115.390569,100,121.07014320900089
Kalimantan,Berau,2.138839,117.492022,Barabai,-2.581936,115.390569,100,571.9931973271367
Kalimantan,Bontang,0.121456,117.484766,Barabai,-2.581936,115.390569,100,379.0382680477351
Kalimantan,Palangkaraya,-2.218321,113.900455,Barabai,-2.581936,115.390569,100,170.54132126337944
Kalimantan,Pontianak,-0.03109,1.093425,Barabai,-2.581936,115.390569,100,12720.384128028372
Kalimantan,Samarinda,-0.502298,117.161801,Barabai,-2.581936,115.390569,100,302.86098653494935
Kalimantan,Sampit,-2.538901,112.956601,Barabai,-2.581936,115.390569,100,270.72117014512287
Kalimantan,Tarakan,0.334307,117.576925,Barabai,-2.581936,115.390569,100,403.9592614249805
Sulawesi,Amurang,0.125533,12.463187,Barru,-0.440562,11.961877,50,83.85950741892076
Sulawesi,Belopa,-0.336284,12.036455,Barru,-0.440562,11.961877,50,14.208149797042559
Sulawesi,Bitung,0.014711,12.515311,Barru,-0.440562,11.961877,50,79.55965350970817
Sulawesi,Bulukumba,-0.525188,12.015831,Barru,-0.440562,11.961877,50,11.119047875810649
Sulawesi,Gowa,-0.520514,11.946374,Barru,-0.440562,11.961877,50,9.00750009743867
Sulawesi,Jeneponto,-0.570104,11.972147,Barru,-0.440562,11.961877,50,14.369571593282085
Sulawesi,Kolaka,-0.407671,12.163507,Barru,-0.440562,11.961877,50,22.737486690036025
Sulawesi,Kotamobagu,0.72119,12.430148,Barru,-0.440562,11.961877,50,138.63312374741616
Sulawesi,Mangkutana,-0.252535,12.082405,Barru,-0.440562,11.961877,50,24.744215269488137
Sulawesi,Marisa,0.48671,12.207034,Barru,-0.440562,11.961877,50,106.10218056634415
Sulawesi,Pangkep,-0.481645,11.954193,Barru,-0.440562,11.961877,50,4.622551779115221
Sulawesi,Parigi,-0.81564,12.017009,Barru,-0.440562,11.961877,50,41.92560734036423
Sulawesi,Polman,-0.342045,11.931694,Barru,-0.440562,11.961877,50,11.399827007871496
Sulawesi,Sengkang,-0.414356,12.003914,Barru,-0.440562,11.961877,50,5.503961221605779
Sulawesi,Sinjai,-0.512906,12.025357,Barru,-0.440562,11.961877,50,10.67347664916156
Sulawesi,Takalar,-0.053974,11.943746,Barru,-0.440562,11.961877,50,42.79431913122829
Sulawesi,Tomohon,0.129712,1.248362,Barru,-0.440562,11.961877,50,1194.2796452684809
Sulawesi,Toraja,-0.030292,1.198819,Barru,-0.440562,11.961877,50,1198.9840541300746
Sulawesi,Unaaha,-0.403681,12.248113,Barru,-0.440562,11.961877,50,32.122701985335375
Sulawesi,Kendari,-0.396513,12.250127,Barru,-0.440562,11.961877,100,32.454563147218046
Sulawesi,Makassar,-0.510404,11.946298,Barru,-0.440562,11.961877,100,7.915050442895145
Sulawesi,Manado,0.149518,12.486597,Barru,-0.440562,11.961877,100,87.57350326056664
Sulawesi,Palu,-0.8232,11.988515,Barru,-0.440562,11.961877,100,42.413746526029755
Sulawesi,Bau-Bau,-0.548159,122.58,Barru,-0.440562,11.961877,100,12313.27315431125
Sulawesi,Bone,-0.455181,1.203264,Barru,-0.440562,11.961877,100,1197.6079560218025
Sulawesi,Gorontalo,0.62005,12.302368,Barru,-0.440562,11.961877,100,123.2492523412139
Sulawesi,Luwuk,-0.96424,12.278153,Barru,-0.440562,11.961877,100,67.76742221090645
Sulawesi,Mamuju,-0.268747,11.889864,Barru,-0.440562,11.961877,100,20.620315237684945
Sulawesi,Palopo,-0.300675,12.020264,Barru,-0.440562,11.961877,100,16.777944360436926
Sulawesi,Pare-Pare,-0.397929,11.965472,Barru,-0.440562,11.961877,100,4.731070979630235
Sulawesi,Poso,-0.138101,12.076128,Barru,-0.440562,11.961877,100,35.78101746708081
Kalimantan,Ampah - Teweh ,-0.935414,114.901123,Batulicin,-3.455801,11.599749,50,11490.071761850995
Kalimantan,Barabai,-2.581936,115.390569,Batulicin,-3.455801,11.599749,50,11531.76487528139
Kalimantan,Bontang-Sangata,0.505968,117.532558,Batulicin,-3.455801,11.599749,50,11792.461050262717
Kalimantan,Ketapang,-0.015698,1.105215,Batulicin,-3.455801,11.599749,50,1227.941887408686
Kalimantan,Pangkalanbun ,-2.684718,111.631067,Batulicin,-3.455801,11.599749,50,11113.951808451826
Kalimantan,Penajam-Grogot,-1.905754,116.197743,Batulicin,-3.455801,11.599749,50,11626.70400125645
Kalimantan,Rantau,-2.934015,11.514198,Batulicin,-3.455801,11.599749,50,58.47619684328281
Kalimantan,Singkawang,0.906,1.089872,Batulicin,-3.455801,11.599749,50,1264.9429815548208
Kalimantan,Sintang,-0.1378,1.128106,Batulicin,-3.455801,11.599749,50,1221.3726878408327
Kalimantan,Balikpapan,-1.249963,116.868785,Batulicin,-3.455801,11.599749,100,11706.247298329428
Kalimantan,Banjarmasin,-3.330249,114.595582,Batulicin,-3.455801,11.599749,100,11437.48709189013
Kalimantan,Berau,2.138839,117.492022,Batulicin,-3.455801,11.599749,100,11798.046309575635
Kalimantan,Bontang,0.121456,117.484766,Batulicin,-3.455801,11.599749,100,11784.557842154785
Kalimantan,Palangkaraya,-2.218321,113.900455,Batulicin,-3.455801,11.599749,100,11369.334332203922
