Branch,origin_total_vehicle,origin_total_capacity_cbm,origin_avg_petrol_per_100km
Bima,2.0,10.0,7.0
Lombok,8.0,40.0,6.75
Kupang,5.0,31.0,5.2
Sumbawa,2.0,8.0,7.5
Maumere,4.0,24.0,5.5
Bali,19.0,97.0,6.84
Bau-Bau,1.0,5.0,7.0
Bone,3.0,15.0,7.0
Luwuk,2.0,8.0,7.5
Kendari,7.0,41.0,5.71
Palopo,7.0,41.0,5.71
Pare-pare,7.0,37.0,6.29
Manado,15.0,85.0,5.73
Mamuju,2.0,10.0,7.0
Palu,7.0,39.0,6.14
Gorontalo,6.0,28.0,6.83
Poso,4.0,20.0,6.5
Makassar,13.0,73.0,6.08
Balikpapan,14.0,72.0,6.36
Banjarmasin,26.0,132.0,6.42
Berau,3.0,13.0,6.67
Palangkaraya,6.0,26.0,7.0
Samarinda,9.0,45.0,6.33
Sampit,5.0,25.0,6.2
Tarakan,4.0,13.0,8.25
,0.0,0.0,
,29.0,107.0,7.9
,0.6178571428571428,3.0392857142857146,6.47
